1;1;4;45000.000000;180000.000000
1;2;2;25000.000000;50000.000000
2;4;2;15000.000000;30000.000000
3;10;5;36000.000000;180000.000000
3;3;2;77000.000000;154000.000000
4;5;3;82000.000000;246000.000000
4;9;1;29000.000000;29000.000000
5;6;2;87000.000000;174000.000000
5;5;5;82000.000000;410000.000000
6;4;10;15000.000000;150000.000000
7;4;15;15000.000000;225000.000000
8;14;5;40000.000000;200000.000000
8;10;5;36000.000000;180000.000000
8;1;1;45000.000000;45000.000000
9;45;2;32000.000000;64000.000000
10;5;10;82000.000000;820000.000000
10;5;2;82000.000000;164000.000000
11;5;4;82000.000000;328000.000000
11;26;2;32000.000000;64000.000000
12;11;2;25000.000000;50000.000000
12;1;1;45000.000000;45000.000000
13;26;2;32000.000000;64000.000000
14;42;4;26000.000000;104000.000000
14;10;5;36000.000000;180000.000000
15;99;2;39000.000000;78000.000000
15;5;20;82000.000000;1640000.000000
16;50;4;77000.000000;308000.000000
16;80;4;98000.000000;392000.000000
17;5;10;82000.000000;820000.000000
17;40;4;61000.000000;244000.000000
18;90;6;27000.000000;162000.000000
18;1;1;45000.000000;45000.000000
18;4;5;15000.000000;75000.000000
18;0;10;98000.000000;980000.000000
19;30;10;32000.000000;320000.000000
20;56;4;11000.000000;44000.000000
20;78;9;52000.000000;468000.000000
21;70;2;18000.000000;36000.000000
21;40;8;61000.000000;488000.000000
21;5;3;82000.000000;246000.000000
21;9;2;29000.000000;58000.000000
22;12;2;96000.000000;192000.000000
22;54;15;24000.000000;360000.000000
