<<<<<<< Updated upstream
1;1;1;15-01-2024;150000.00;Tiền mặt;200000.00;50000.00
2;1;2;20-02-2024;120000.00;Tiền mặt;150000.00;30000.00
3;2;3;05-03-2024;180000.00;Chuyển khoản;200000.00;20000.00
4;2;4;10-04-2024;250000.00;Tiền mặt;300000.00;50000.00
5;3;1;25-05-2024;200000.00;Tiền mặt;250000.00;50000.00
6;3;2;30-06-2024;300000.00;Chuyển khoản;350000.00;50000.00
7;4;3;15-07-2024;100000.00;Tiền mặt;150000.00;50000.00
8;4;4;22-08-2024;220000.00;Tiền mặt;300000.00;80000.00
9;1;1;28-09-2024;270000.00;Chuyển khoản;300000.00;30000.00
10;2;2;10-10-2024;310000.00;Tiền mặt;400000.00;90000.00
11;3;3;15-11-2024;420000.00;Tiền mặt;500000.00;80000.00
12;3;4;20-12-2024;500000.00;Chuyển khoản;600000.00;100000.00
=======
2;3;3;19-11-2024;120000.000000;Tiền mặt;130000.000000;10000.000000
5;3;3;19-11-2024;135000.000000;Tiền mặt;150000.000000;15000.000000
12;24;48;19-11-2024;180000.000000;Chuyển khoản;200000.000000;20000.000000
3;3;3;19-04-2022;120000.000000;Tiền mặt;130000.000000;10000.000000
10;3;3;19-11-2022;135000.000000;Tiền mặt;150000.000000;15000.000000
12;24;48;19-11-2024;180000.000000;Chuyển khoản;200000.000000;20000.000000
45;22;12;24-11-2024;455000.000000;Tiền mặt;455000.000000;0.000000
1;2;5;24-11-2024;150000.000000;Chuyển khoản;200000.000000;50000.000000
121;4;2;24-11-2024;192000.000000;Chuyển khoản;200000.000000;8000.000000
4;12;22;24-11-2024;122000.000000;Tiền mặt;140000.000000;18000.000000
100;46;5;24-11-2024;610000.000000;Tiền mặt;700000.000000;90000.000000
99;4;2;24-11-2024;984000.000000;Tiền mặt;1000000.000000;16000.000000
>>>>>>> Stashed changes
