1;101;50;15000;750000  
1;102;20;20000;400000  
2;103;30;12000;360000  
2;104;40;18000;720000  
3;105;25;25000;625000  
3;106;10;15000;150000  
4;107;15;22000;330000  
4;108;35;17000;595000  
5;109;50;14000;700000  
5;110;20;19000;380000  
6;111;45;16000;720000  
6;112;60;13000;780000  
7;113;30;20000;600000  
7;114;25;21000;525000  
8;115;15;24000;360000  
8;116;20;26000;520000  
9;117;35;18000;630000  
9;118;40;15000;600000  
10;119;50;11000;550000  
10;120;30;17000;510000  
11;121;45;14000;630000  
11;122;10;20000;200000  
12;123;25;12000;300000  
12;124;60;21000;1260000  
13;125;20;23000;460000  
13;126;15;25000;375000  
14;127;35;19000;665000  
14;128;50;22000;1100000  
15;129;40;24000;960000  
15;130;45;25000;1125000  
