1;1;4;45000.000000;45000.000000
1;2;2;25000.000000;25000.000000
2;4;2;15000.000000;15000.000000
3;10;5;36000.000000;36000.000000
3;3;2;77000.000000;77000.000000
4;5;3;82000.000000;82000.000000
4;9;1;29000.000000;29000.000000
5;12;20;96000.000000;96000.000000
5;20;2;59000.000000;59000.000000
6;4;10;15000.000000;15000.000000
7;4;15;15000.000000;15000.000000
8;14;5;40000.000000;40000.000000
8;10;5;36000.000000;36000.000000
8;1;1;45000.000000;45000.000000
9;20;2;450000.000000;450000.000000
9;2;20;15000.000000;15000.000000
10;5;10;82000.000000;82000.000000
10;5;2;82000.000000;82000.000000
11;14;10;250000.000000;250000.000000
11;19;10;150000.000000;150000.000000
11;1;4;20000.000000;20000.000000
12;11;2;25000.000000;25000.000000
12;1;1;45000.000000;45000.000000
13;4;6;250000.000000;250000.000000
13;6;4;220000.000000;220000.000000
14;10;11;10000.000000;10000.000000
15;12;20;400000.000000;400000.000000
15;18;2;3000000.000000;3000000.000000
16;11;11;500000.000000;500000.000000
16;7;8;12000.000000;12000.000000
16;9;10;5000.000000;5000.000000
17;5;20;300000.000000;300000.000000
17;16;1;50000.000000;50000.000000
18;7;20;12000.000000;12000.000000
18;5;10;300000.000000;300000.000000
19;10;10;10000.000000;10000.000000
19;6;15;220000.000000;220000.000000
20;4;5;250000.000000;250000.000000
20;1;4;20000.000000;20000.000000
20;5;1;300000.000000;300000.000000
21;5;4;300000.000000;300000.000000
21;19;1;150000.000000;150000.000000
22;2;1;25000.000000;25000.000000
23;5;4;82000.000000;82000.000000
23;9;2;29000.000000;29000.000000
24;9;14;5000.000000;5000.000000
24;14;2;250000.000000;250000.000000
25;2;4;15000.000000;15000.000000
26;2;1;15000.000000;15000.000000
27;2;1;15000.000000;15000.000000
28;2;3;15000.000000;45000.000000
