1;2;3;26-01-2022;230000.000000;Tiền mặt;250000.000000;20000.000000
2;4;5;26-05-2022;30000.000000;Chuyển khoản;30000.000000;0.000000
3;4;4;26-06-2022;334000.000000;Tiền mặt;400000.000000;66000.000000
4;5;1;10-09-2022;275000.000000;Tiền mặt;280000.000000;5000.000000
5;10;2;02-12-2022;2038000.000000;Tiền mặt;2100000.000000;62000.000000
6;2;1;19-04-2023;150000.000000;Tiền mặt;200000.000000;50000.000000
7;5;10;20-09-2023;225000.000000;Tiền mặt;250000.000000;25000.000000
8;9;8;04-12-2023;425000.000000;Chuyển khoản;500000.000000;75000.000000
9;10;10;06-12-2023;1200000.000000;Chuyển khoản;1200000.000000;0.000000
10;4;10;01-01-2024;984000.000000;Chuyển khoản;990000.000000;6000.000000
11;4;11;02-01-2024;4080000.000000;Tiền mặt;4100000.000000;20000.000000
12;5;4;26-02-2024;95000.000000;Tiền mặt;100000.000000;5000.000000
13;3;3;12-05-2024;2380000.000000;Tiền mặt;2400000.000000;20000.000000
14;2;1;24-06-2024;110000.000000;Chuyển khoản;110000.000000;0.000000
15;2;1;01-08-2024;14000000.000000;Tiền mặt;15000000.000000;1000000.000000
16;1;7;02-09-2024;5646000.000000;Tiền mặt;5700000.000000;54000.000000
17;7;6;20-10-2024;6050000.000000;Tiền mặt;7000000.000000;950000.000000
18;6;8;17-11-2024;3240000.000000;Chuyển khoản;3240000.000000;0.000000
19;5;3;30-11-2024;3400000.000000;Tiền mặt;3500000.000000;100000.000000
20;10;2;02-12-2024;1630000.000000;Tiền mặt;1700000.000000;70000.000000
21;10;2;02-12-2024;1350000.000000;Chuyển khoản;1350000.000000;0.000000
22;3;11;03-12-2024;25000.000000;Tiền mặt;30000.000000;5000.000000
23;2;11;03-12-2024;386000.000000;Chuyển khoản;500000.000000;114000.000000
24;6;7;03-12-2024;570000.000000;Tiền mặt;600000.000000;30000.000000
